roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade
std-34,Male,Group A,Some college,Standard,Complete,41,77,97,65,280,B
std-35,Male,Group C,Associate's degree,Standard,Not complete,32,71,74,70,247,C
std-36,Male,Group A,Some college,Standard,Not complete,85,76,74,57,292,B
std-37,Male,Group C,High school,Standard,Not complete,78,82,52,71,283,B
std-38,Female,Group C,Associate's degree,Standard,Complete,36,70,57,93,256,B
std-39,Male,Group D,High school,Free/reduced,Not complete,68,66,86,99,319,B
std-40,Male,Group D,Some college,Standard,Not complete,97,89,64,66,316,B
std-41,Male,Group D,High school,Standard,Not complete,38,97,55,62,252,B
std-42,Male,Group D,High school,Standard,Complete,38,92,95,50,275,B
std-43,Male,Group B,High school,Standard,Not complete,27,38,54,65,215,C
std-44,Male,Group A,Bachelor's degree,Free/reduced,Not complete,78,70.12591479,81,71,313,B
std-45,Male,Group D,Some college,Standard,Not complete,64,81,71.41579791,96,297,B
std-46,Male,Group C,Some college,Standard,Not complete,60,43,33,66.063045,212,C
std-47,Male,Group D,Some college,Free/reduced,Not complete,60,56,78,67,264.7409077,B
std-48,Male,Group C,High school,Free/reduced,Not complete,38,90,53,60,241,C
std-49,Male,Group D,High school,Free/reduced,Not complete,69,98,98,46,311,B
std-50,Male,Group E,High school,Free/reduced,Not complete,87,63,48,55,253,B
std-51,Male,Group B,High school,Standard,Not complete,83,56,71.41579791,66.063045,272,B
std-52,Male,Group D,Associate's degree,Free/reduced,Complete,42,64,57,94,257,B
std-53,Male,Group C,Bachelor's degree,Standard,Complete,72,70.12591479,69,28,242,C
std-54,Male,Group C,Some college,Standard,Not complete,27,100,59,9,212,C
std-55,Male,Group B,Some college,Free/reduced,Complete,52,98,73,75,298,B
std-56,Male,Group B,Associate's degree,Free/reduced,Complete,65,66,60,57,248,C
std-57,Male,Group C,Some college,Standard,Complete,27,55,100,38,220,C
std-58,Male,Group C,Bachelor's degree,Free/reduced,Not complete,46,91,30,69,236,C
std-59,Female,Group C,Associate's degree,Standard,Complete,12,83,74,63,232,C
std-60,Male,Group D,High school,Standard,Not complete,51,73,100,60,284,B
std-61,Male,Group D,High school,Standard,Not complete,32,100,77,61,270,B
std-62,Male,Group B,High school,Standard,Not complete,75,86,73,79,313,B
std-63,Male,Group B,Associate's degree,Free/reduced,Complete,60,53,82,71,266,B
std-64,Male,Group D,Some college,Standard,Not complete,20,76,63,71,230,C
std-65,Male,Group B,Bachelor's degree,Standard,Complete,85,82,80,72,319,B
std-66,Male,Group D,Associate's degree,Standard,Not complete,81,88,100,100,369,A
std-67,Male,Group A,Associate's degree,Standard,Not complete,98,40,32,51,221,C
std-68,Male,Group C,Master's degree,Standard,Complete,72,90,61,65,288,B
std-69,Male,Group C,Master's degree,Standard,Not complete,83,89,56,74,302,B
std-70,Male,Group C,Some college,Standard,Not complete,100,62,32,74,268,B
std-71,Male,Group A,High school,Free/reduced,Not complete,24,86,68,52,230,C
std-72,Male,Group D,High school,Standard,Not complete,71,90,68,72,301,B
std-73,Male,Group B,Some college,Standard,Not complete,20,73,100,56,249,C
std-74,Male,Group E,Associate's degree,Standard,Not complete,23,57,65,65,210,C
std-75,Male,Group A,Associate's degree,Free/reduced,Complete,82,30,53,75,240,C
std-76,Male,Group C,Some college,Standard,Not complete,49,30,53,33,165,D
std-77,Male,Group D,Master's degree,Standard,Not complete,35,62,33,46,176,D
std-78,Male,Group D,Some college,Free/reduced,Not complete,55,58,98,74,285,B
std-79,Male,Group B,High school,Standard,Not complete,32,100,78,36,246,C
std-80,Male,Group D,High school,Free/reduced,Not complete,19,60,25,78,182,D
std-81,Male,Group E,Bachelor's degree,Standard,Complete,47,70,100,90,307,B
std-82,Male,Group E,High school,Free/reduced,Complete,48,76,80,100,304,B
std-83,Male,Group E,Master's degree,Standard,Not complete,29,77,44,79,229,C
std-84,Male,Group E,Bachelor's degree,Standard,Not complete,34,70,41,53,198,D
std-85,Male,Group D,Associate's degree,Standard,Not complete,74,69,26,60,229,C
std-86,Male,Group E,Some college,Standard,Not complete,44,90,58,72,264,B
std-87,Male,Group C,Some college,Standard,Complete,28,82,87,52,249,C
std-88,Male,Group B,Master's degree,Standard,Not complete,72,76,49,88,285,B
std-89,Male,Group E,Some college,Standard,Complete,43,82,50,56,231,C
std-90,Male,Group E,Some college,Standard,Not complete,71,65,59,60,255,B
std-91,Male,Group B,Some college,Standard,Complete,62,58,45,33,198,D
std-92,Male,Group C,Some college,Standard,Not complete,42,60,80,74,256,B
std-93,Male,Group E,Associate's degree,Free/reduced,Not complete,43,86,83,93,305,B
std-94,Male,Group B,High school,Free/reduced,Complete,21,60,18,66,165,D
std-95,Male,Group B,High school,Standard,Not complete,72,86,23,62,243,C
std-96,Male,Group E,Associate's degree,Free/reduced,Not complete,93,85,30,79,287,B
std-97,Male,Group D,High school,Standard,Not complete,66,91,95,59,311,B
std-98,Male,Group D,Some college,Standard,Complete,65,65,64,27,221,C
std-99,Male,Group D,Master's degree,Free/reduced,Not complete,47,64,54,23,188,D
std-100,Male,Group C,High school,Free/reduced,Not complete,0,37,62,94,193,D
std-101,Male,Group D,Associate's degree,Standard,Complete,25,78,69,36,208,C
std-102,Male,Group B,Associate's degree,Standard,Complete,78,82,62,15,237,C
std-103,Male,Group B,High school,Free/reduced,Not complete,82,84,82,79,327,A
std-104,Male,Group E,Some college,Standard,Complete,46,98,96,100,340,A
std-105,Male,Group C,Some college,Standard,Not complete,13,100,68,10,191,D
std-106,Male,Group D,Bachelor's degree,Standard,Not complete,28,79,71,42,220,C
std-107,Male,Group A,Some college,Standard,Not complete,35,74,58,51,218,C
std-108,Male,Group A,Associate's degree,Standard,Complete,39,64,93,77,273,B
std-109,Male,Group C,High school,Standard,Complete,51,69,68,36,224,C
std-110,Male,Group B,Master's degree,Free/reduced,Not complete,71,89,71,83,314,B
std-111,Male,Group D,High school,Free/reduced,Not complete,45,65,37,50,197,D
std-112,Male,Group E,High school,Standard,Complete,57,60,56,52,225,C
std-113,Male,Group C,Bachelor's degree,Standard,Complete,44,89,100,88,321,A
std-114,Male,Group C,High school,Standard,Not complete,20,69,78,61,228,C
std-115,Male,Group A,Associate's degree,Standard,Not complete,54,95,71,80,300,B
std-116,Male,Group C,Associate's degree,Free/reduced,Not complete,28,53,84,38,203,C
std-117,Male,Group C,Some college,Standard,Not complete,21,47,55,49,172,D
std-118,Male,Group C,High school,Standard,Complete,66,91,40,40,237,C
std-119,Male,Group A,Associate's degree,Standard,Complete,18,95,72,49,234,C
std-120,Male,Group B,Some college,Standard,Not complete,70,59,29,50,208,C
std-121,Male,Group C,High school,Standard,Not complete,30,63,76,48,217,C
std-122,Male,Group C,Associate's degree,Standard,Not complete,98,68,100,69,335,A
std-123,Male,Group E,Associate's degree,Free/reduced,Not complete,85,98,64,73,320,A
std-124,Male,Group C,High school,Standard,Not complete,75,90,51,91,307,B
std-125,Male,Group A,Master's degree,Free/reduced,Complete,97,100,69,58,324,A
std-126,Male,Group B,Some college,Standard,Not complete,20,76,27,43,166,D
std-127,Male,Group C,High school,Standard,Complete,50,100,67,100,317,B
std-128,Male,Group D,Some college,Standard,Complete,65,85,72,72,294,B
std-129,Male,Group E,Some college,Free/reduced,Complete,23,100,92,67,282,B
std-130,Male,Group B,Master's degree,Standard,Not complete,32,48,51,9,140,Fail
std-131,Male,Group E,High school,Standard,Not complete,61,59,100,54,274,B
std-132,Male,Group B,High school,Free/reduced,Not complete,73,78,96,81,328,A
std-133,Male,Group B,Bachelor's degree,Standard,Not complete,88,85,79,100,352,A
std-134,Male,Group C,High school,Free/reduced,Complete,60,92,41,28,221,C
std-135,Male,Group B,Bachelor's degree,Standard,Complete,25,82,80,94,281,B
std-136,Male,Group E,High school,Standard,Complete,93,81,75,91,340,A
std-137,Male,Group D,High school,Standard,Not complete,72,44,78,58,252,B
std-138,Male,Group D,Some college,Free/reduced,Complete,64,65,81,100,310,B
std-139,Male,Group D,Some college,Standard,Not complete,41,72,88,64,265,B
std-140,Male,Group C,High school,Standard,Complete,36,67,60,77,240,C
std-141,Male,Group C,Associate's degree,Free/reduced,Complete,33,88,31,97,249,C
std-142,Male,Group D,Associate's degree,Standard,Not complete,54,86,62,78,280,B
std-143,Male,Group B,High school,Standard,Complete,44,49,60,39,192,D
std-144,Male,Group A,Master's degree,Standard,Not complete,44,17,92,86,239,C
std-145,Male,Group D,High school,Standard,Not complete,19,84,99,62,264,B
std-146,Male,Group C,Master's degree,Standard,Not complete,29,59,47,48,183,D
std-147,Male,Group C,High school,Free/reduced,Complete,39,58,72,25,194,D
std-148,Male,Group C,Some college,Free/reduced,Not complete,24,77,94,9,204,C
std-149,Male,Group C,Some college,Standard,Not complete,76,91,100,41,308,B
std-150,Male,Group C,Master's degree,Free/reduced,Not complete,74,62,86,91,313,B
std-151,Male,Group E,Some college,Standard,Complete,65,62,63,56,246,C
std-152,Male,Group B,Master's degree,Free/reduced,Not complete,38,63,59,82,242,C
std-153,Male,Group C,High school,Standard,Not complete,71,58,56,73,258,B
std-154,Male,Group D,High school,Free/reduced,Not complete,75,100,100,34,309,B
std-155,Male,Group B,Bachelor's degree,Free/reduced,Not complete,68,79,77,89,313,B
std-156,Male,Group D,High school,Standard,Not complete,34,91,64,44,233,C
std-157,Male,Group A,High school,Free/reduced,Not complete,45,48,67,9,169,D
std-158,Male,Group C,Some college,Free/reduced,Complete,46,34,86,59,225,C
std-159,Male,Group B,Some college,Free/reduced,Not complete,82,87,52,60,281,B
std-160,Male,Group C,Some college,Standard,Not complete,57,59,95,99,310,B
std-161,Male,Group C,Master's degree,Standard,Not complete,0,93,66,80,239,C
std-162,Male,Group D,Some college,Free/reduced,Complete,88,70.12591479,59,46,257,B
std-163,Male,Group E,Bachelor's degree,Standard,Not complete,27,100,71.41579791,82,296,B
std-164,Male,Group A,Bachelor's degree,Free/reduced,Complete,17,97,63,44,221,C
std-165,Male,Group C,Some college,Free/reduced,Complete,62,87,73,56,264.7409077,B
std-166,Male,Group C,Bachelor's degree,Free/reduced,Complete,16,100,47,32,195,B
std-167,Male,Group D,Some college,Free/reduced,Not complete,89,68,64,99,320,A
std-168,Male,Group A,Associate's degree,Standard,Not complete,50,60,57,32,199,D
std-169,Male,Group C,High school,Standard,Not complete,40,98,53,84,275,B
std-170,Male,Group E,Bachelor's degree,Free/reduced,Complete,56,81,52,69,258,B
std-171,Male,Group C,Bachelor's degree,Free/reduced,Not complete,80,70,37,75,262,B
std-172,Male,Group E,Bachelor's degree,Standard,Not complete,74,70,36,41,221,C
std-173,Male,Group D,Bachelor's degree,Free/reduced,Complete,23,87,73,86,269,B
std-174,Male,Group D,High school,Standard,Not complete,53,51,73,87,264,B
std-175,Male,Group D,Some college,Standard,Not complete,39,41,48,62,190,D
std-176,Male,Group B,Master's degree,Free/reduced,Not complete,30,69,93,91,283,B
std-177,Male,Group E,High school,Standard,Complete,68,91,65,98,322,A
std-178,Male,Group E,High school,Standard,Complete,71,80,58,58,267,B
std-179,Male,Group D,Associate's degree,Standard,Not complete,14,36,25,66.063045,124,Fail
std-180,Male,Group C,High school,Standard,Complete,44,80,71.41579791,61,285,B
std-181,Male,Group C,High school,Free/reduced,Not complete,69,70.12591479,49,48,248,C
std-182,Male,Group B,High school,Free/reduced,Not complete,27,95,33,49,219,C
std-183,Male,Group D,Bachelor's degree,Standard,Complete,49,70,93,64,276,B
std-184,Male,Group D,Some college,Free/reduced,Complete,84,75,67,62,288,B
std-185,Male,Group E,Some college,Standard,Not complete,55,86,70,92,303,B
std-186,Male,Group C,Master's degree,Standard,Not complete,49,90,55,94,288,B
std-187,Male,Group C,Associate's degree,Standard,Complete,41,72,63,97,273,B
std-188,Male,Group D,Bachelor's degree,Standard,Complete,49,58,66,34,207,C
std-189,Male,Group B,Some college,Standard,Not complete,16,100,88,36,240,C
std-190,Male,Group C,Associate's degree,Free/reduced,Complete,37,99,52,45,233,C
std-191,Male,Group C,High school,Standard,Complete,87,57,65,60,269,B
std-192,Male,Group E,Some college,Standard,Complete,45,100,46,73,264,B
std-193,Male,Group B,Associate's degree,Free/reduced,Not complete,32,47,61,61,201,C
std-194,Male,Group D,High school,Standard,Complete,62,91,89,63,305,B
std-195,Male,Group E,High school,Standard,Complete,58,88,64,62,272,B
std-196,Male,Group E,Bachelor's degree,Free/reduced,Complete,51,60,54,74,239,C
std-197,Male,Group D,Master's degree,Standard,Complete,45,51,56,74,226,C
std-198,Male,Group D,Master's degree,Standard,Not complete,33,63,53,85,234,C
std-199,Male,Group D,Some college,Standard,Complete,50,91,78,35,254,B
std-200,Male,Group D,Bachelor's degree,Free/reduced,Not complete,57,71,42,80,250,B
std-201,Male,Group C,High school,Standard,Complete,80,100,84,46,310,B
std-202,Male,Group A,Some college,Free/reduced,Not complete,69,37,37,87,230,C
std-203,Male,Group D,High school,Free/reduced,Not complete,39,66,51,40,196,D
std-204,Male,Group C,High school,Standard,Complete,9,95,88,68,260,B
std-205,Male,Group C,Master's degree,Free/reduced,Complete,8,69,61,33,171,D
std-206,Male,Group E,High school,Free/reduced,Not complete,17,76,34,72,199,D
std-207,Male,Group D,Bachelor's degree,Free/reduced,Complete,33,54,63,57,207,C
std-208,Male,Group D,High school,Free/reduced,Complete,16,50,81,100,247,C
std-209,Male,Group B,High school,Free/reduced,Not complete,65,92,49,30,236,C
std-210,Male,Group A,High school,Standard,Not complete,54,85,60,70,269,B
std-211,Male,Group C,High school,Standard,Not complete,19,62,58,74,213,C
std-212,Male,Group E,High school,Standard,Not complete,51,60,63,47,221,C
std-213,Male,Group C,Associate's degree,Free/reduced,Not complete,66,95,50,73,284,B
std-214,Male,Group A,Some college,Free/reduced,Complete,18,72,10,76,176,D
std-215,Male,Group C,Master's degree,Free/reduced,Not complete,27,52,47,29,207,C
std-216,Male,Group C,Associate's degree,Free/reduced,Complete,33,70.12591479,74,52,231,C
std-217,Male,Group B,Some college,Free/reduced,Not complete,81,49,71.41579791,60,248,C
std-218,Male,Group C,Some college,Free/reduced,Not complete,35,100,47,66.063045,235,C
std-219,Male,Group C,Bachelor's degree,Standard,Complete,49,67,88,70,264.7409077,B
std-220,Male,Group B,Associate's degree,Free/reduced,Not complete,75,57,42,53,227,C
std-221,Male,Group C,Some college,Free/reduced,Complete,40,83,99,100,322,A
std-222,Male,Group A,Bachelor's degree,Standard,Not complete,79,100,62,63,304,B
std-223,Male,Group B,Bachelor's degree,Free/reduced,Complete,44,86,65,88,283,B
std-224,Male,Group D,Bachelor's degree,Standard,Not complete,20,46,65,15,146,Fail
std-225,Male,Group A,High school,Standard,Complete,16,70,56,77,219,C
std-226,Male,Group C,High school,Free/reduced,Not complete,65,45,56,45,211,C
std-227,Male,Group E,High school,Standard,Complete,68,67,72,30,237,C
std-228,Male,Group D,High school,Standard,Complete,74,66,51,80,271,B
std-229,Male,Group C,Some college,Standard,Not complete,16,83,66,49,214,C
std-230,Male,Group B,High school,Standard,Complete,65,43,84,13,205,C
std-231,Male,Group D,Some college,Standard,Complete,71,88,72,46,277,B
std-232,Male,Group D,Some college,Standard,Complete,11,57,91,93,252,B
std-233,Male,Group C,Associate's degree,Free/reduced,Not complete,44,38,82,67,231,C
std-234,Male,Group C,Some college,Free/reduced,Not complete,12,64,74,92,242,C
std-235,Male,Group E,Associate's degree,Free/reduced,Not complete,11,93,56,92,252,B
std-236,Male,Group E,Associate's degree,Free/reduced,Not complete,54,75,79,58,266,B
std-237,Male,Group D,Associate's degree,Standard,Not complete,21,58,68,65,212,C
std-238,Male,Group E,Some college,Standard,Not complete,48,74,58,52,232,C
std-239,Male,Group C,Some college,Free/reduced,Not complete,40,51,51,74,216,C
std-240,Male,Group C,High school,Free/reduced,Not complete,79,74,62,62,277,B
std-241,Male,Group E,Bachelor's degree,Standard,Complete,77,72,94,63,306,B
std-242,Male,Group C,Some college,Standard,Not complete,19,63,69,58,209,C
std-243,Male,Group E,Some college,Standard,Not complete,74,77,63,68,282,B
std-244,Male,Group C,Some college,Free/reduced,Not complete,52,66,71.41579791,66.063045,263,B
std-245,Male,Group D,Some college,Standard,Complete,51,70.12591479,61,80,265,B
std-246,Male,Group D,Bachelor's degree,Standard,Complete,27,77,77,49,260,B
std-247,Male,Group E,Bachelor's degree,Standard,Complete,39,79,62,49,229,C
std-248,Male,Group C,Bachelor's degree,Standard,Not complete,43,100,73,42,258,B
std-249,Male,Group C,Some college,Free/reduced,Complete,24,52,54,91,221,C
std-250,Male,Group C,High school,Free/reduced,Not complete,26,63,96,42,227,C
std-251,Female,Group D,High school,Standard,Complete,68,53,100,41,262,B
std-252,Male,Group B,High school,Standard,Not complete,72,100,100,46,318,B
std-253,Male,Group A,High school,Free/reduced,Complete,43,81,89,68,281,B
std-254,Male,Group E,High school,Free/reduced,Not complete,68,41,42,54,205,C
std-255,Male,Group C,High school,Standard,Not complete,44,70,59,65,238,C
std-256,Male,Group C,Some college,Free/reduced,Complete,83,39,56,36,214,C
std-257,Male,Group E,High school,Standard,Complete,60,80,74,71,285,B
std-258,Male,Group A,Some college,Standard,Not complete,82,100,75,71,328,A
std-259,Male,Group E,Bachelor's degree,Standard,Not complete,22,65,48,50,185,D
std-260,Male,Group E,Master's degree,Standard,Complete,83,52,92,77,304,B
std-261,Male,Group D,High school,Free/reduced,Not complete,99,78,81,97,355,A
std-262,Male,Group B,Bachelor's degree,Standard,Not complete,79,73,94,78,324,A
std-263,Male,Group C,High school,Standard,Not complete,55,52,87,54,248,C
std-264,Male,Group E,Associate's degree,Free/reduced,Not complete,39,89,55,77,260,B
std-265,Male,Group D,Some college,Standard,Complete,69,76,60,73,278,B
std-266,Male,Group E,High school,Standard,Not complete,50,65,59,64,238,C
std-267,Male,Group D,Associate's degree,Free/reduced,Not complete,89,74,70,67,300,B
std-268,Male,Group C,Associate's degree,Standard,Complete,60,93,63,47,263,B
std-269,Male,Group D,Associate's degree,Standard,Not complete,53,94,92,63,302,B
std-270,Male,Group C,High school,Standard,Not complete,72,98,73,77,320,A
std-271,Male,Group A,High school,Standard,Complete,0,85,99,47,231,C
std-272,Male,Group E,High school,Free/reduced,Not complete,83,78,78,86,325,A
std-273,Male,Group D,Bachelor's degree,Standard,Not complete,72,60,75,54,261,B
std-274,Male,Group A,Master's degree,Standard,Not complete,49,88,75,42,254,B
std-275,Male,Group B,High school,Standard,Not complete,16,50,58,40,164,D
std-276,Male,Group B,Master's degree,Standard,Not complete,78,60,50,75,263,B
std-277,Male,Group D,Bachelor's degree,Free/reduced,Complete,41,66,52,45,204,C
std-278,Male,Group B,Associate's degree,Standard,Not complete,33,65,61,59,218,C
std-279,Male,Group D,Some college,Free/reduced,Not complete,58,64,70,38,230,C
std-280,Male,Group C,Bachelor's degree,Free/reduced,Not complete,23,72,90,55,240,C
std-281,Male,Group B,High school,Standard,Not complete,46,92,52,32,222,C
std-282,Male,Group D,High school,Standard,Complete,20,74,34,29,157,D
std-283,Male,Group D,Bachelor's degree,Standard,Not complete,17,55,44,31,147,Fail
std-284,Male,Group D,Associate's degree,Standard,Not complete,25,71,59,69,224,C
std-285,Male,Group C,Bachelor's degree,Standard,Complete,70,48,79,65,262,B
std-286,Male,Group D,Some college,Free/reduced,Not complete,46,69,70,44,229,C
std-287,Male,Group E,Some college,Standard,Complete,41,61,69,44,215,C
std-288,Male,Group C,High school,Standard,Not complete,69,36,65,94,264,B
std-289,Male,Group B,Bachelor's degree,Standard,Not complete,61,40,72,44,217,C
std-290,Male,Group B,High school,Standard,Not complete,68,100,100,62,330,A
std-291,Male,Group B,Master's degree,Free/reduced,Not complete,68,65,76,59,268,B
std-292,Male,Group D,Associate's degree,Standard,Not complete,41,35,66,37,179,D
std-293,Male,Group D,Bachelor's degree,Standard,Complete,24,33,47,11,115,Fail
std-294,Male,Group E,Bachelor's degree,Free/reduced,Not complete,48,94,100,49,291,B
std-295,Male,Group D,Master's degree,Standard,Complete,54,86,87,48,275,B
std-296,Male,Group C,Associate's degree,Standard,Complete,37,100,96,64,297,B
std-297,Male,Group B,Associate's degree,Standard,Not complete,40,59,75,39,213,C
std-298,Male,Group C,Bachelor's degree,Standard,Not complete,49,98,79,69,295,B
std-299,Male,Group B,Bachelor's degree,Free/reduced,Not complete,73,79,56,66,274,B
std-300,Male,Group C,High school,Free/reduced,Not complete,67,100,64,80,311,B
std-301,Male,Group D,Master's degree,Standard,Not complete,44,17,57,64,182,D
std-302,Male,Group C,High school,Free/reduced,Not complete,47,85,65,25,222,C
std-303,Male,Group D,Bachelor's degree,Standard,Not complete,75,96,100,100,371,A
std-304,Male,Group A,Associate's degree,Free/reduced,Complete,39,82,53,73,247,C
std-305,Male,Group B,High school,Free/reduced,Complete,44,76,53,10,183,D
std-306,Male,Group B,High school,Standard,Not complete,37,100,70,87,294,B
std-307,Male,Group A,Bachelor's degree,Standard,Complete,58,69,86,50,263,B
std-308,Male,Group E,Bachelor's degree,Standard,Not complete,72,62,48,82,264,B
std-309,Male,Group E,Some college,Free/reduced,Not complete,26,76,85,59,246,C
std-310,Male,Group C,Associate's degree,Free/reduced,Not complete,25,44,56,39,164,D
std-311,Male,Group C,High school,Standard,Not complete,59,100,69,75,303,B
std-312,Male,Group C,High school,Standard,Not complete,98,100,95,67,360,A
std-313,Male,Group B,Bachelor's degree,Free/reduced,Complete,63,100,55,38,256,B
std-314,Male,Group E,High school,Standard,Not complete,64,99,77,89,329,A
std-315,Male,Group C,Some college,Free/reduced,Not complete,25,51,95,48,219,C
std-316,Male,Group C,Associate's degree,Standard,Complete,75,67,80,49,271,B
std-317,Male,Group B,Some college,Free/reduced,Complete,17,68,69,23,177,D
std-318,Male,Group D,Bachelor's degree,Free/reduced,Complete,69,57,79,64,269,B
std-319,Male,Group D,Master's degree,Free/reduced,Complete,29,93,69,60,251,B
std-320,Male,Group D,Some college,Standard,Not complete,37,44,62,69,212,C
std-321,Male,Group D,Associate's degree,Free/reduced,Not complete,49,62,16,75,202,C
std-322,Male,Group E,Associate's degree,Free/reduced,Complete,98,60,70,69,297,B
std-323,Male,Group D,Master's degree,Standard,Not complete,30,63,73,43,209,C
std-324,Male,Group E,Master's degree,Free/reduced,Complete,71,100,73,40,284,B
std-325,Male,Group C,High school,Free/reduced,Not complete,39,58,34,46,177,D
std-326,Male,Group D,High school,Free/reduced,Complete,19,46,67,9,141,Fail
std-327,Male,Group B,Master's degree,Standard,Complete,35,95,57,57,244,C
std-328,Male,Group C,High school,Standard,Not complete,42,100,100,80,322,A
std-329,Male,Group B,Associate's degree,Standard,Complete,86,71,59,47,263,B
std-330,Male,Group B,Bachelor's degree,Standard,Complete,46,94,100,64,304,B
std-331,Male,Group D,Bachelor's degree,Free/reduced,Complete,77,75,63,32,247,C
std-332,Male,Group E,Some college,Standard,Complete,79,44,70,78,271,B
std-333,Male,Group B,Some college,Standard,Complete,62,83,55,58,258,B
std-334,Male,Group C,Bachelor's degree,Standard,Not complete,57,92,96,79,324,A
std-335,Male,Group A,High school,Free/reduced,Complete,30,59,48,42,179,D
std-336,Male,Group C,High school,Free/reduced,Complete,45,74,59,100,278,B
std-337,Male,Group A,High school,Standard,Not complete,77,96,58,90,321,A
std-338,Male,Group D,High school,Standard,Complete,43,35,80,82,240,C
std-339,Male,Group A,High school,Free/reduced,Not complete,31,78,34,47,190,D
std-340,Male,Group C,High school,Standard,Not complete,30,100,87,54,271,B
std-341,Male,Group C,High school,Free/reduced,Not complete,61,89,79,80,309,B
std-342,Male,Group D,High school,Standard,Complete,61,89,86,71,307,B
std-343,Male,Group E,High school,Standard,Not complete,92,70,45,69,276,B
std-344,Male,Group B,Some college,Standard,Not complete,50,78,54,69,251,B
std-345,Male,Group B,Bachelor's degree,Free/reduced,Complete,75,86,63,56,280,B
std-346,Male,Group D,Associate's degree,Standard,Not complete,43,51,83,64,241,C
std-347,Male,Group A,High school,Standard,Not complete,64,71,69,64,268,B
std-348,Male,Group C,Associate's degree,Standard,Not complete,19,17,83,63,182,D
std-349,Male,Group C,Associate's degree,Standard,Not complete,17,82,65,89,253,B
std-350,Male,Group B,High school,Free/reduced,Complete,68,100,77,89,334,A
std-351,Male,Group C,High school,Free/reduced,Not complete,54,79,36,94,263,B
std-352,Male,Group C,Associate's degree,Free/reduced,Not complete,79,91,83,66,319,B
std-353,Male,Group D,High school,Free/reduced,Complete,51,44,67,82,244,C
std-354,Male,Group D,High school,Standard,Not complete,24,81,53,45,203,C
std-355,Male,Group B,Associate's degree,Free/reduced,Complete,79,67,76,54,276,B
std-356,Male,Group B,High school,Standard,Not complete,19,78,56,75,228,C
std-357,Male,Group B,Some college,Standard,Not complete,52,76,68,59,255,B
std-358,Male,Group D,Some college,Free/reduced,Not complete,28,75,30,32,165,D
std-359,Male,Group C,High school,Free/reduced,Not complete,86,66,43,12,207,C
std-360,Male,Group C,High school,Standard,Not complete,50,100,76,62,288,B
std-361,Male,Group C,Associate's degree,Standard,Complete,50,55,66,79,250,B
std-362,Male,Group C,High school,Standard,Not complete,20,47,54,61,182,D
std-363,Male,Group D,Bachelor's degree,Standard,Complete,17,81,52,90,240,C
