roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade
std-28,Male,Group B,High school,Free/reduced,Not complete,47,49.0,98.0,46.0,240.0,C
std-29,Male,Group D,Associate's degree,Free/reduced,Not complete,37,57.0,57.0,82.0,233.0,C
std-30,Male,Group E,High school,Free/reduced,Complete,49,54.0,61.0,78.0,242.0,C
std-31,Male,Group E,High school,Standard,Complete,72,89.0,64.0,81.0,306.0,B
std-32,Male,Group A,Associate's degree,Free/reduced,Not complete,18,69.0,82.0,9.0,178.0,D
std-33,Male,Group C,Associate's degree,Free/reduced,Not complete,11,67.0,60.0,31.0,169.0,D
std-34,Male,Group A,Some college,Standard,Complete,41,77.0,97.0,65.0,280.0,B
std-35,Male,Group C,Associate's degree,Standard,Not complete,32,71.0,74.0,70.0,247.0,C
std-36,Male,Group A,Some college,Standard,Not complete,85,76.0,74.0,57.0,292.0,B
std-37,Male,Group C,High school,Standard,Not complete,78,82.0,52.0,71.0,283.0,B
std-38,Female,Group C,Associate's degree,Standard,Complete,36,70.0,57.0,93.0,256.0,B
std-39,Male,Group D,High school,Free/reduced,Not complete,68,66.0,86.0,99.0,319.0,B
std-40,Male,Group D,Some college,Standard,Not complete,97,89.0,64.0,66.0,316.0,B
std-41,Male,Group D,High school,0.6442461908580593,Not complete,38,97.0,55.0,62.0,252.0,B
std-42,Male,Group D,High school,Standard,0.3886939961912398,38,92.0,95.0,50.0,275.0,B
std-43,Male,Group B,High school,Standard,Not complete,27,38.0,54.0,65.0,215.0,C
std-44,Male,Group A,Bachelor's degree,Free/reduced,Not complete,78,70.12591478696741,81.0,71.0,313.0,B
std-45,Male,Group D,Some college,Standard,Not complete,64,81.0,71.41579791499599,96.0,297.0,B
std-46,Male,Group C,Some college,Standard,Not complete,60,43.0,33.0,66.06304500350807,212.0,C
std-47,Male,Group D,Some college,Free/reduced,Not complete,60,56.0,78.0,67.0,264.7409077246769,B
std-48,Male,Group C,High school,Free/reduced,Not complete,38,90.0,53.0,60.0,241.0,C
std-49,Male,Group D,High school,Free/reduced,Not complete,69,98.0,98.0,46.0,311.0,B
std-50,Male,Group E,High school,Free/reduced,Not complete,87,63.0,48.0,55.0,253.0,B
std-51,Male,Group B,High school,Standard,Not complete,83,56.0,71.41579791499599,66.06304500350807,272.0,B
std-52,Male,Group D,Associate's degree,Free/reduced,Complete,42,64.0,57.0,94.0,257.0,B
std-53,Male,Group C,Bachelor's degree,Standard,Complete,72,70.12591478696741,69.0,28.0,242.0,C
std-54,Male,Group C,Some college,Standard,Not complete,27,100.0,59.0,9.0,212.0,C
std-55,Male,Group B,Some college,Free/reduced,0.3886939961912398,52,98.0,73.0,75.0,298.0,B
std-56,Male,Group B,Associate's degree,0.6442461908580593,Complete,65,66.0,60.0,57.0,248.0,C
std-57,Male,Group C,Some college,Standard,Complete,27,55.0,100.0,38.0,220.0,C
std-58,Male,Group C,Bachelor's degree,Free/reduced,Not complete,46,91.0,30.0,69.0,236.0,C
std-59,Female,Group C,Associate's degree,Standard,Complete,12,83.0,74.0,63.0,232.0,C
std-60,Male,Group D,High school,Standard,Not complete,51,73.0,100.0,60.0,284.0,B
std-61,Male,Group D,High school,Standard,Not complete,32,100.0,77.0,61.0,270.0,B
std-62,Male,Group B,High school,Standard,Not complete,75,86.0,73.0,79.0,313.0,B
std-63,Male,Group B,Associate's degree,Free/reduced,Complete,60,53.0,82.0,71.0,266.0,B
std-64,Male,Group D,Some college,Standard,Not complete,20,76.0,63.0,71.0,230.0,C
std-65,Male,Group B,Bachelor's degree,Standard,Complete,85,82.0,80.0,72.0,319.0,B
std-66,Male,Group D,Associate's degree,Standard,Not complete,81,88.0,100.0,100.0,369.0,A
std-67,Male,Group A,Associate's degree,Standard,Not complete,98,40.0,32.0,51.0,221.0,C
std-68,Male,Group C,Master's degree,Standard,Complete,72,90.0,61.0,65.0,288.0,B
std-69,Male,Group C,Master's degree,Standard,Not complete,83,89.0,56.0,74.0,302.0,B
std-70,Male,Group C,Some college,Standard,Not complete,100,62.0,32.0,74.0,268.0,B
std-71,Male,Group A,High school,Free/reduced,Not complete,24,86.0,68.0,52.0,230.0,C
std-72,Male,Group D,High school,Standard,Not complete,71,90.0,68.0,72.0,301.0,B
std-73,Male,Group B,Some college,Standard,Not complete,20,73.0,100.0,56.0,249.0,C
std-74,Male,Group E,Associate's degree,Standard,Not complete,23,57.0,65.0,65.0,210.0,C
std-75,Male,Group A,Associate's degree,Free/reduced,Complete,82,30.0,53.0,75.0,240.0,C
std-76,Male,Group C,Some college,Standard,Not complete,49,30.0,53.0,33.0,165.0,D
std-77,Male,Group D,Master's degree,Standard,Not complete,35,62.0,33.0,46.0,176.0,D
std-78,Male,Group D,Some college,Free/reduced,Not complete,55,58.0,98.0,74.0,285.0,B
std-79,Male,Group B,High school,Standard,Not complete,32,100.0,78.0,36.0,246.0,C
std-80,Male,Group D,High school,Free/reduced,Not complete,19,60.0,25.0,78.0,182.0,D
std-81,Male,Group E,Bachelor's degree,Standard,Complete,47,70.0,100.0,90.0,307.0,B
std-82,Male,Group E,High school,Free/reduced,Complete,48,76.0,80.0,100.0,304.0,B
std-83,Male,Group E,Master's degree,Standard,Not complete,29,77.0,44.0,79.0,229.0,C
std-84,Male,Group E,Bachelor's degree,Standard,Not complete,34,70.0,41.0,53.0,198.0,D
std-85,Male,Group D,Associate's degree,Standard,Not complete,74,69.0,26.0,60.0,229.0,C
std-86,Male,Group E,Some college,Standard,Not complete,44,90.0,58.0,72.0,264.0,B
std-87,Male,Group C,Some college,Standard,Complete,28,82.0,87.0,52.0,249.0,C
std-88,Male,Group B,Master's degree,Standard,Not complete,72,76.0,49.0,88.0,285.0,B
std-89,Male,Group E,Some college,Standard,Complete,43,82.0,50.0,56.0,231.0,C
std-90,Male,Group E,Some college,Standard,Not complete,71,65.0,59.0,60.0,255.0,B
std-91,Male,Group B,Some college,Standard,Complete,62,58.0,45.0,33.0,198.0,D
std-92,Male,Group C,Some college,Standard,Not complete,42,60.0,80.0,74.0,256.0,B
std-93,Male,Group E,Associate's degree,Free/reduced,Not complete,43,86.0,83.0,93.0,305.0,B
std-94,Male,Group B,High school,Free/reduced,Complete,21,60.0,18.0,66.0,165.0,D
std-95,Male,Group B,High school,Standard,Not complete,72,86.0,23.0,62.0,243.0,C
std-96,Male,Group E,Associate's degree,Free/reduced,Not complete,93,85.0,30.0,79.0,287.0,B
std-97,Male,Group D,High school,Standard,Not complete,66,91.0,95.0,59.0,311.0,B
std-98,Male,Group D,Some college,Standard,Complete,65,65.0,64.0,27.0,221.0,C
std-99,Male,Group D,Master's degree,Free/reduced,Not complete,47,64.0,54.0,23.0,188.0,D
std-100,Male,Group C,High school,Free/reduced,Not complete,0,37.0,62.0,94.0,193.0,D
std-101,Male,Group D,Associate's degree,Standard,Complete,25,78.0,69.0,36.0,208.0,C
std-102,Male,Group B,Associate's degree,Standard,Complete,78,82.0,62.0,15.0,237.0,C
std-103,Male,Group B,High school,Free/reduced,Not complete,82,84.0,82.0,79.0,327.0,A
std-104,Male,Group E,Some college,Standard,Complete,46,98.0,96.0,100.0,340.0,A
std-105,Male,Group C,Some college,Standard,Not complete,13,100.0,68.0,10.0,191.0,D
std-106,Male,Group D,Bachelor's degree,Standard,Not complete,28,79.0,71.0,42.0,220.0,C
std-107,Male,Group A,Some college,Standard,Not complete,35,74.0,58.0,51.0,218.0,C
std-108,Male,Group A,Associate's degree,Standard,Complete,39,64.0,93.0,77.0,273.0,B
std-109,Male,Group C,High school,Standard,Complete,51,69.0,68.0,36.0,224.0,C
std-110,Male,Group B,Master's degree,Free/reduced,Not complete,71,89.0,71.0,83.0,314.0,B
std-111,Male,Group D,High school,Free/reduced,Not complete,45,65.0,37.0,50.0,197.0,D
std-112,Male,Group E,High school,Standard,Complete,57,60.0,56.0,52.0,225.0,C
std-113,Male,Group C,Bachelor's degree,Standard,Complete,44,89.0,100.0,88.0,321.0,A
std-114,Male,Group C,High school,Standard,Not complete,20,69.0,78.0,61.0,228.0,C
std-115,Male,Group A,Associate's degree,Standard,Not complete,54,95.0,71.0,80.0,300.0,B
std-116,Male,Group C,Associate's degree,Free/reduced,Not complete,28,53.0,84.0,38.0,203.0,C
std-117,Male,Group C,Some college,Standard,Not complete,21,47.0,55.0,49.0,172.0,D
std-118,Male,Group C,High school,Standard,Complete,66,91.0,40.0,40.0,237.0,C
std-119,Male,Group A,Associate's degree,Standard,Complete,18,95.0,72.0,49.0,234.0,C
std-120,Male,Group B,Some college,Standard,Not complete,70,59.0,29.0,50.0,208.0,C
std-121,Male,Group C,High school,Standard,Not complete,30,63.0,76.0,48.0,217.0,C
std-122,Male,Group C,Associate's degree,Standard,Not complete,98,68.0,100.0,69.0,335.0,A
std-123,Male,Group E,Associate's degree,Free/reduced,Not complete,85,98.0,64.0,73.0,320.0,A
std-124,Male,Group C,High school,Standard,Not complete,75,90.0,51.0,91.0,307.0,B
std-125,Male,Group A,Master's degree,Free/reduced,Complete,97,100.0,69.0,58.0,324.0,A
std-126,Male,Group B,Some college,Standard,Not complete,20,76.0,27.0,43.0,166.0,D
std-127,Male,Group C,High school,Standard,Complete,50,100.0,67.0,100.0,317.0,B
std-128,Male,Group D,Some college,Standard,Complete,65,85.0,72.0,72.0,294.0,B
std-129,Male,Group E,Some college,Free/reduced,Complete,23,100.0,92.0,67.0,282.0,B
std-130,Male,Group B,Master's degree,Standard,Not complete,32,48.0,51.0,9.0,140.0,Fail
std-131,Male,Group E,High school,Standard,Not complete,61,59.0,100.0,54.0,274.0,B
std-132,Male,Group B,High school,Free/reduced,Not complete,73,78.0,96.0,81.0,328.0,A
std-133,Male,Group B,Bachelor's degree,Standard,Not complete,88,85.0,79.0,100.0,352.0,A
std-134,Male,Group C,High school,Free/reduced,Complete,60,92.0,41.0,28.0,221.0,C
std-135,Male,Group B,Bachelor's degree,Standard,Complete,25,82.0,80.0,94.0,281.0,B
std-136,Male,Group E,High school,Standard,Complete,93,81.0,75.0,91.0,340.0,A
std-137,Male,Group D,High school,Standard,Not complete,72,44.0,78.0,58.0,252.0,B
std-138,Male,Group D,Some college,Free/reduced,Complete,64,65.0,81.0,100.0,310.0,B
std-139,Male,Group D,Some college,Standard,Not complete,41,72.0,88.0,64.0,265.0,B
std-140,Male,Group C,High school,Standard,Complete,36,67.0,60.0,77.0,240.0,C
std-141,Male,Group C,Associate's degree,Free/reduced,Complete,33,88.0,31.0,97.0,249.0,C
std-142,Male,Group D,Associate's degree,Standard,Not complete,54,86.0,62.0,78.0,280.0,B
std-143,Male,Group B,High school,Standard,Complete,44,49.0,60.0,39.0,192.0,D
std-144,Male,Group A,Master's degree,Standard,Not complete,44,17.0,92.0,86.0,239.0,C
std-145,Male,Group D,High school,Standard,Not complete,19,84.0,99.0,62.0,264.0,B
std-146,Male,Group C,Master's degree,Standard,Not complete,29,59.0,47.0,48.0,183.0,D
std-147,Male,Group C,High school,Free/reduced,Complete,39,58.0,72.0,25.0,194.0,D
std-148,Male,Group C,Some college,Free/reduced,Not complete,24,77.0,94.0,9.0,204.0,C
std-149,Male,Group C,Some college,Standard,Not complete,76,91.0,100.0,41.0,308.0,B
std-150,Male,Group C,Master's degree,Free/reduced,Not complete,74,62.0,86.0,91.0,313.0,B
std-151,Male,Group E,Some college,Standard,Complete,65,62.0,63.0,56.0,246.0,C
std-152,Male,Group B,Master's degree,Free/reduced,Not complete,38,63.0,59.0,82.0,242.0,C
std-153,Male,Group C,High school,Standard,Not complete,71,58.0,56.0,73.0,258.0,B
std-154,Male,Group D,High school,Free/reduced,Not complete,75,100.0,100.0,34.0,309.0,B
std-155,Male,Group B,Bachelor's degree,Free/reduced,Not complete,68,79.0,77.0,89.0,313.0,B
std-156,Male,Group D,High school,Standard,Not complete,34,91.0,64.0,44.0,233.0,C
std-157,Male,Group A,High school,Free/reduced,Not complete,45,48.0,67.0,9.0,169.0,D
std-158,Male,Group C,Some college,Free/reduced,Complete,46,34.0,86.0,59.0,225.0,C
std-159,Male,Group B,Some college,Free/reduced,Not complete,82,87.0,52.0,60.0,281.0,B
std-160,Male,Group C,Some college,Standard,Not complete,57,59.0,95.0,99.0,310.0,B
std-161,Male,Group C,Master's degree,0.6442461908580593,Not complete,0,93.0,66.0,80.0,239.0,C
std-162,Male,Group D,Some college,Free/reduced,0.3886939961912398,88,70.12591478696741,59.0,46.0,257.0,B
std-163,Male,Group E,Bachelor's degree,Standard,Not complete,27,100.0,71.41579791499599,82.0,296.0,B
std-164,Male,Group A,Bachelor's degree,Free/reduced,Complete,17,97.0,63.0,44.0,221.0,C
std-165,Male,Group C,Some college,Free/reduced,Complete,62,87.0,73.0,56.0,264.7409077246769,B
std-166,Male,Group C,Bachelor's degree,Free/reduced,Complete,16,100.0,47.0,32.0,195.0,B
std-167,Male,Group D,Some college,Free/reduced,Not complete,89,68.0,64.0,99.0,320.0,A
std-168,Male,Group A,Associate's degree,Standard,Not complete,50,60.0,57.0,32.0,199.0,D
std-169,Male,Group C,High school,Standard,Not complete,40,98.0,53.0,84.0,275.0,B
std-170,Male,Group E,Bachelor's degree,Free/reduced,Complete,56,81.0,52.0,69.0,258.0,B
std-171,Male,Group C,Bachelor's degree,Free/reduced,Not complete,80,70.0,37.0,75.0,262.0,B
std-172,Male,Group E,Bachelor's degree,Standard,Not complete,74,70.0,36.0,41.0,221.0,C
std-173,Male,Group D,Bachelor's degree,Free/reduced,Complete,23,87.0,73.0,86.0,269.0,B
std-174,Male,Group D,High school,Standard,Not complete,53,51.0,73.0,87.0,264.0,B
std-175,Male,Group D,Some college,Standard,Not complete,39,41.0,48.0,62.0,190.0,D
std-176,Male,Group B,Master's degree,Free/reduced,Not complete,30,69.0,93.0,91.0,283.0,B
std-177,Male,Group E,High school,Standard,Complete,68,91.0,65.0,98.0,322.0,A
std-178,Male,Group E,High school,Standard,Complete,71,80.0,58.0,58.0,267.0,B
std-179,Male,Group D,Associate's degree,Standard,Not complete,14,36.0,25.0,66.06304500350807,124.0,Fail
std-180,Male,Group C,High school,Standard,Complete,44,80.0,71.41579791499599,61.0,285.0,B
std-181,Male,Group C,High school,Free/reduced,Not complete,69,70.12591478696741,49.0,48.0,248.0,C
std-182,Male,Group B,High school,Free/reduced,Not complete,27,95.0,33.0,49.0,219.0,C
std-183,Male,Group D,Bachelor's degree,Standard,0.3886939961912398,49,70.0,93.0,64.0,276.0,B
std-184,Male,Group D,Some college,0.6442461908580593,Complete,84,75.0,67.0,62.0,288.0,B
std-185,Male,Group E,Some college,Standard,Not complete,55,86.0,70.0,92.0,303.0,B
std-186,Male,Group C,Master's degree,Standard,Not complete,49,90.0,55.0,94.0,288.0,B
std-187,Male,Group C,Associate's degree,Standard,Complete,41,72.0,63.0,97.0,273.0,B
std-188,Male,Group D,Bachelor's degree,Standard,Complete,49,58.0,66.0,34.0,207.0,C
std-189,Male,Group B,Some college,Standard,Not complete,16,100.0,88.0,36.0,240.0,C
std-190,Male,Group C,Associate's degree,Free/reduced,Complete,37,99.0,52.0,45.0,233.0,C
std-191,Male,Group C,High school,Standard,Complete,87,57.0,65.0,60.0,269.0,B
std-192,Male,Group E,Some college,Standard,Complete,45,100.0,46.0,73.0,264.0,B
std-193,Male,Group B,Associate's degree,Free/reduced,Not complete,32,47.0,61.0,61.0,201.0,C
std-194,Male,Group D,High school,Standard,Complete,62,91.0,89.0,63.0,305.0,B
std-195,Male,Group E,High school,Standard,Complete,58,88.0,64.0,62.0,272.0,B
std-196,Male,Group E,Bachelor's degree,Free/reduced,Complete,51,60.0,54.0,74.0,239.0,C
std-197,Male,Group D,Master's degree,Standard,Complete,45,51.0,56.0,74.0,226.0,C
std-198,Male,Group D,Master's degree,Standard,Not complete,33,63.0,53.0,85.0,234.0,C
std-199,Male,Group D,Some college,Standard,Complete,50,91.0,78.0,35.0,254.0,B
std-200,Male,Group D,Bachelor's degree,Free/reduced,Not complete,57,71.0,42.0,80.0,250.0,B
std-201,Male,Group C,High school,Standard,Complete,80,100.0,84.0,46.0,310.0,B
std-202,Male,Group A,Some college,Free/reduced,Not complete,69,37.0,37.0,87.0,230.0,C
std-203,Male,Group D,High school,Free/reduced,Not complete,39,66.0,51.0,40.0,196.0,D
std-204,Male,Group C,High school,Standard,Complete,9,95.0,88.0,68.0,260.0,B
std-205,Male,Group C,Master's degree,Free/reduced,Complete,8,69.0,61.0,33.0,171.0,D
std-206,Male,Group E,High school,Free/reduced,Not complete,17,76.0,34.0,72.0,199.0,D
std-207,Male,Group D,Bachelor's degree,Free/reduced,Complete,33,54.0,63.0,57.0,207.0,C
std-208,Male,Group D,High school,Free/reduced,Complete,16,50.0,81.0,100.0,247.0,C
std-209,Male,Group B,High school,Free/reduced,Not complete,65,92.0,49.0,30.0,236.0,C
std-210,Male,Group A,High school,Standard,Not complete,54,85.0,60.0,70.0,269.0,B
std-211,Male,Group C,High school,Standard,Not complete,19,62.0,58.0,74.0,213.0,C
std-212,Male,Group E,High school,Standard,Not complete,51,60.0,63.0,47.0,221.0,C
std-213,Male,Group C,Associate's degree,0.6442461908580593,Not complete,66,95.0,50.0,73.0,284.0,B
std-214,Male,Group A,Some college,Free/reduced,0.3886939961912398,18,72.0,10.0,76.0,176.0,D
std-215,Male,Group C,Master's degree,Free/reduced,Not complete,27,52.0,47.0,29.0,207.0,C
std-216,Male,Group C,Associate's degree,Free/reduced,Complete,33,70.12591478696741,74.0,52.0,231.0,C
std-217,Male,Group B,Some college,Free/reduced,Not complete,81,49.0,71.41579791499599,60.0,248.0,C
std-218,Male,Group C,Some college,Free/reduced,Not complete,35,100.0,47.0,66.06304500350807,235.0,C
std-219,Male,Group C,Bachelor's degree,Standard,Complete,49,67.0,88.0,70.0,264.7409077246769,B
std-220,Male,Group B,Associate's degree,Free/reduced,Not complete,75,57.0,42.0,53.0,227.0,C
std-221,Male,Group C,Some college,Free/reduced,Complete,40,83.0,99.0,100.0,322.0,A
std-222,Male,Group A,Bachelor's degree,Standard,Not complete,79,100.0,62.0,63.0,304.0,B
std-223,Male,Group B,Bachelor's degree,Free/reduced,Complete,44,86.0,65.0,88.0,283.0,B
std-224,Male,Group D,Bachelor's degree,Standard,Not complete,20,46.0,65.0,15.0,146.0,Fail
std-225,Male,Group A,High school,Standard,Complete,16,70.0,56.0,77.0,219.0,C
std-226,Male,Group C,High school,Free/reduced,Not complete,65,45.0,56.0,45.0,211.0,C
std-227,Male,Group E,High school,Standard,Complete,68,67.0,72.0,30.0,237.0,C
std-228,Male,Group D,High school,Standard,Complete,74,66.0,51.0,80.0,271.0,B
std-229,Male,Group C,Some college,Standard,Not complete,16,83.0,66.0,49.0,214.0,C
std-230,Male,Group B,High school,Standard,Complete,65,43.0,84.0,13.0,205.0,C
std-231,Male,Group D,Some college,Standard,Complete,71,88.0,72.0,46.0,277.0,B
std-232,Male,Group D,Some college,Standard,Complete,11,57.0,91.0,93.0,252.0,B
std-233,Male,Group C,Associate's degree,Free/reduced,Not complete,44,38.0,82.0,67.0,231.0,C
std-234,Male,Group C,Some college,Free/reduced,Not complete,12,64.0,74.0,92.0,242.0,C
std-235,Male,Group E,Associate's degree,Free/reduced,Not complete,11,93.0,56.0,92.0,252.0,B
std-236,Male,Group E,Associate's degree,Free/reduced,Not complete,54,75.0,79.0,58.0,266.0,B
std-237,Male,Group D,Associate's degree,Standard,Not complete,21,58.0,68.0,65.0,212.0,C
std-238,Male,Group E,Some college,Standard,Not complete,48,74.0,58.0,52.0,232.0,C
std-239,Male,Group C,Some college,Free/reduced,Not complete,40,51.0,51.0,74.0,216.0,C
std-240,Male,Group C,High school,Free/reduced,Not complete,79,74.0,62.0,62.0,277.0,B
std-241,Male,Group E,Bachelor's degree,Standard,Complete,77,72.0,94.0,63.0,306.0,B
std-242,Male,Group C,Some college,Standard,Not complete,19,63.0,69.0,58.0,209.0,C
std-243,Male,Group E,Some college,Standard,Not complete,74,77.0,63.0,68.0,282.0,B
std-244,Male,Group C,Some college,Free/reduced,Not complete,52,66.0,71.41579791499599,66.06304500350807,263.0,B
std-245,Male,Group D,Some college,Standard,Complete,51,70.12591478696741,61.0,80.0,265.0,B
std-246,Male,Group D,Bachelor's degree,Standard,Complete,27,77.0,77.0,49.0,260.0,B
std-247,Male,Group E,Bachelor's degree,Standard,0.3886939961912398,39,79.0,62.0,49.0,229.0,C
std-248,Male,Group C,Bachelor's degree,0.6442461908580593,Not complete,43,100.0,73.0,42.0,258.0,B
std-249,Male,Group C,Some college,Free/reduced,Complete,24,52.0,54.0,91.0,221.0,C
std-250,Male,Group C,High school,Free/reduced,Not complete,26,63.0,96.0,42.0,227.0,C
std-251,Female,Group D,High school,Standard,Complete,68,53.0,100.0,41.0,262.0,B
std-252,Male,Group B,High school,Standard,Not complete,72,100.0,100.0,46.0,318.0,B
std-253,Male,Group A,High school,Free/reduced,Complete,43,81.0,89.0,68.0,281.0,B
std-254,Male,Group E,High school,Free/reduced,Not complete,68,41.0,42.0,54.0,205.0,C
std-255,Male,Group C,High school,Standard,Not complete,44,70.0,59.0,65.0,238.0,C
std-256,Male,Group C,Some college,Free/reduced,Complete,83,39.0,56.0,36.0,214.0,C
std-257,Male,Group E,High school,Standard,Complete,60,80.0,74.0,71.0,285.0,B
std-258,Male,Group A,Some college,Standard,Not complete,82,100.0,75.0,71.0,328.0,A
std-259,Male,Group E,Bachelor's degree,Standard,Not complete,22,65.0,48.0,50.0,185.0,D
std-260,Male,Group E,Master's degree,Standard,Complete,83,52.0,92.0,77.0,304.0,B
std-261,Male,Group D,High school,Free/reduced,Not complete,99,78.0,81.0,97.0,355.0,A
std-262,Male,Group B,Bachelor's degree,Standard,Not complete,79,73.0,94.0,78.0,324.0,A
std-263,Male,Group C,High school,Standard,Not complete,55,52.0,87.0,54.0,248.0,C
std-264,Male,Group E,Associate's degree,Free/reduced,Not complete,39,89.0,55.0,77.0,260.0,B
std-265,Male,Group D,Some college,Standard,Complete,69,76.0,60.0,73.0,278.0,B
std-266,Male,Group E,High school,Standard,Not complete,50,65.0,59.0,64.0,238.0,C
std-267,Male,Group D,Associate's degree,Free/reduced,Not complete,89,74.0,70.0,67.0,300.0,B
std-268,Male,Group C,Associate's degree,Standard,Complete,60,93.0,63.0,47.0,263.0,B
std-269,Male,Group D,Associate's degree,Standard,Not complete,53,94.0,92.0,63.0,302.0,B
std-270,Male,Group C,High school,Standard,Not complete,72,98.0,73.0,77.0,320.0,A
std-271,Male,Group A,High school,Standard,Complete,0,85.0,99.0,47.0,231.0,C
std-272,Male,Group E,High school,Free/reduced,Not complete,83,78.0,78.0,86.0,325.0,A
std-273,Male,Group D,Bachelor's degree,Standard,Not complete,72,60.0,75.0,54.0,261.0,B
std-274,Male,Group A,Master's degree,Standard,Not complete,49,88.0,75.0,42.0,254.0,B
std-275,Male,Group B,High school,Standard,Not complete,16,50.0,58.0,40.0,164.0,D
std-276,Male,Group B,Master's degree,Standard,Not complete,78,60.0,50.0,75.0,263.0,B
std-277,Male,Group D,Bachelor's degree,Free/reduced,Complete,41,66.0,52.0,45.0,204.0,C
std-278,Male,Group B,Associate's degree,Standard,Not complete,33,65.0,61.0,59.0,218.0,C
std-279,Male,Group D,Some college,Free/reduced,Not complete,58,64.0,70.0,38.0,230.0,C
std-280,Male,Group C,Bachelor's degree,Free/reduced,Not complete,23,72.0,90.0,55.0,240.0,C
std-281,Male,Group B,High school,Standard,Not complete,46,92.0,52.0,32.0,222.0,C
std-282,Male,Group D,High school,Standard,Complete,20,74.0,34.0,29.0,157.0,D
std-283,Male,Group D,Bachelor's degree,Standard,Not complete,17,55.0,44.0,31.0,147.0,Fail
std-284,Male,Group D,Associate's degree,Standard,Not complete,25,71.0,59.0,69.0,224.0,C
std-285,Male,Group C,Bachelor's degree,Standard,Complete,70,48.0,79.0,65.0,262.0,B
std-286,Male,Group D,Some college,Free/reduced,Not complete,46,69.0,70.0,44.0,229.0,C
std-287,Male,Group E,Some college,Standard,Complete,41,61.0,69.0,44.0,215.0,C
std-288,Male,Group C,High school,Standard,Not complete,69,36.0,65.0,94.0,264.0,B
std-289,Male,Group B,Bachelor's degree,Standard,Not complete,61,40.0,72.0,44.0,217.0,C
std-290,Male,Group B,High school,Standard,Not complete,68,100.0,100.0,62.0,330.0,A
std-291,Male,Group B,Master's degree,Free/reduced,Not complete,68,65.0,76.0,59.0,268.0,B
std-292,Male,Group D,Associate's degree,Standard,Not complete,41,35.0,66.0,37.0,179.0,D
std-293,Male,Group D,Bachelor's degree,Standard,Complete,24,33.0,47.0,11.0,115.0,Fail
std-294,Male,Group E,Bachelor's degree,Free/reduced,Not complete,48,94.0,100.0,49.0,291.0,B
std-295,Male,Group D,Master's degree,Standard,Complete,54,86.0,87.0,48.0,275.0,B
std-296,Male,Group C,Associate's degree,Standard,Complete,37,100.0,96.0,64.0,297.0,B
std-297,Male,Group B,Associate's degree,Standard,Not complete,40,59.0,75.0,39.0,213.0,C
std-298,Male,Group C,Bachelor's degree,Standard,Not complete,49,98.0,79.0,69.0,295.0,B
